,model,split,f2_score,n_estimators,max_samples,contamination
136,n_estimators_200_max_samples_0.5_contamination_0.2/,1,0.8528698464025869,200,0.5,0.2
137,n_estimators_200_max_samples_0.5_contamination_0.2/,2,0.8333333333333334,200,0.5,0.2
138,n_estimators_200_max_samples_0.5_contamination_0.2/,3,0.8415032679738562,200,0.5,0.2
139,n_estimators_200_max_samples_0.5_contamination_0.2/,4,0.826580226904376,200,0.5,0.2
140,n_estimators_200_max_samples_0.7_contamination_0.01/,0,0.8333333333333334,200,0.7,0.01
141,n_estimators_200_max_samples_0.7_contamination_0.01/,1,0.8333333333333334,200,0.7,0.01
142,n_estimators_200_max_samples_0.7_contamination_0.01/,2,0.8333333333333334,200,0.7,0.01
143,n_estimators_200_max_samples_0.7_contamination_0.01/,3,0.8333333333333334,200,0.7,0.01
144,n_estimators_200_max_samples_0.7_contamination_0.01/,4,0.8333333333333334,200,0.7,0.01
145,n_estimators_200_max_samples_0.7_contamination_0.05/,0,0.8333333333333334,200,0.7,0.05
146,n_estimators_200_max_samples_0.7_contamination_0.05/,1,0.8333333333333334,200,0.7,0.05
147,n_estimators_200_max_samples_0.7_contamination_0.05/,2,0.8333333333333334,200,0.7,0.05
148,n_estimators_200_max_samples_0.7_contamination_0.05/,3,0.8482142857142857,200,0.7,0.05
149,n_estimators_200_max_samples_0.7_contamination_0.05/,4,0.8333333333333334,200,0.7,0.05
150,n_estimators_200_max_samples_0.7_contamination_0.1/,0,0.8333333333333334,200,0.7,0.1
151,n_estimators_200_max_samples_0.7_contamination_0.1/,1,0.8333333333333334,200,0.7,0.1
152,n_estimators_200_max_samples_0.7_contamination_0.1/,2,0.8333333333333334,200,0.7,0.1
153,n_estimators_200_max_samples_0.7_contamination_0.1/,3,0.838126540673788,200,0.7,0.1
154,n_estimators_200_max_samples_0.7_contamination_0.1/,4,0.854251012145749,200,0.7,0.1
155,n_estimators_200_max_samples_0.7_contamination_0.2/,0,0.8333333333333334,200,0.7,0.2
156,n_estimators_200_max_samples_0.7_contamination_0.2/,1,0.8333333333333334,200,0.7,0.2
157,n_estimators_200_max_samples_0.7_contamination_0.2/,2,0.8333333333333334,200,0.7,0.2
158,n_estimators_200_max_samples_0.7_contamination_0.2/,3,0.8482142857142857,200,0.7,0.2
159,n_estimators_200_max_samples_0.7_contamination_0.2/,4,0.8333333333333334,200,0.7,0.2
160,n_estimators_200_max_samples_1.0_contamination_0.01/,0,0.8333333333333334,200,1.0,0.01
161,n_estimators_200_max_samples_1.0_contamination_0.01/,1,0.8333333333333334,200,1.0,0.01
162,n_estimators_200_max_samples_1.0_contamination_0.01/,2,0.8333333333333334,200,1.0,0.01
163,n_estimators_200_max_samples_1.0_contamination_0.01/,3,0.8415032679738562,200,1.0,0.01
164,n_estimators_200_max_samples_1.0_contamination_0.01/,4,0.8333333333333334,200,1.0,0.01
165,n_estimators_200_max_samples_1.0_contamination_0.05/,0,0.8333333333333334,200,1.0,0.05
166,n_estimators_200_max_samples_1.0_contamination_0.05/,1,0.8333333333333334,200,1.0,0.05
167,n_estimators_200_max_samples_1.0_contamination_0.05/,2,0.8333333333333334,200,1.0,0.05
168,n_estimators_200_max_samples_1.0_contamination_0.05/,3,0.8333333333333334,200,1.0,0.05
169,n_estimators_200_max_samples_1.0_contamination_0.05/,4,0.8333333333333334,200,1.0,0.05
170,n_estimators_200_max_samples_1.0_contamination_0.1/,0,0.8333333333333334,200,1.0,0.1
171,n_estimators_200_max_samples_1.0_contamination_0.1/,1,0.8319604612850082,200,1.0,0.1
172,n_estimators_200_max_samples_1.0_contamination_0.1/,2,0.8333333333333334,200,1.0,0.1
173,n_estimators_200_max_samples_1.0_contamination_0.1/,3,0.8387622149837134,200,1.0,0.1
174,n_estimators_200_max_samples_1.0_contamination_0.1/,4,0.8588709677419355,200,1.0,0.1
175,n_estimators_200_max_samples_1.0_contamination_0.2/,0,0.8333333333333334,200,1.0,0.2
176,n_estimators_200_max_samples_1.0_contamination_0.2/,1,0.8333333333333334,200,1.0,0.2
177,n_estimators_200_max_samples_1.0_contamination_0.2/,2,0.8333333333333334,200,1.0,0.2
178,n_estimators_200_max_samples_1.0_contamination_0.2/,3,0.8360927152317881,200,1.0,0.2
179,n_estimators_200_max_samples_1.0_contamination_0.2/,4,0.8588709677419355,200,1.0,0.2
