,model,split,f2_score,hidden_size,num_layers,bidirectional,dropout,lr,batch_size,num_epochs
20,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,2,True,0.0,0.01,32,10
21,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,2,True,0.0,0.01,32,10
22,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,True,0.0,0.01,32,10
23,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,2,True,0.0,0.01,32,10
24,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,True,0.0,0.01,32,10
25,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,True,0.0,0.01,32,20
26,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,True,0.0,0.01,32,20
27,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,2,True,0.0,0.01,32,20
28,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,True,0.0,0.01,32,20
29,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,2,True,0.0,0.01,32,20
30,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,0,0.8438485804416404,32,2,True,0.1,0.0001,32,10
31,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,2,True,0.1,0.0001,32,10
32,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,True,0.1,0.0001,32,10
