,model,split,f2_score,n_neighbors,metric,contamination,encoding_dim
77,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_64/,2,0.8333333333333334,5,manhattan,0.05,64
78,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_64/,3,0.8333333333333334,5,manhattan,0.05,64
79,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_64/,4,0.8333333333333334,5,manhattan,0.05,64
80,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_128/,0,0.8333333333333334,5,manhattan,0.05,128
81,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_128/,1,0.8333333333333334,5,manhattan,0.05,128
82,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_128/,2,0.8333333333333334,5,manhattan,0.05,128
83,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_128/,3,0.8333333333333334,5,manhattan,0.05,128
84,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_128/,4,0.8333333333333334,5,manhattan,0.05,128
85,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_256/,0,0.8333333333333334,5,manhattan,0.05,256
86,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_256/,1,0.8333333333333334,5,manhattan,0.05,256
87,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_256/,2,0.8333333333333334,5,manhattan,0.05,256
88,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_256/,3,0.8333333333333334,5,manhattan,0.05,256
89,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_256/,4,0.8333333333333334,5,manhattan,0.05,256
90,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_64/,0,0.8333333333333334,5,manhattan,0.1,64
91,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_64/,1,0.8333333333333334,5,manhattan,0.1,64
92,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_64/,2,0.8333333333333334,5,manhattan,0.1,64
93,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_64/,3,0.8333333333333334,5,manhattan,0.1,64
94,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_64/,4,0.8333333333333334,5,manhattan,0.1,64
95,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_128/,0,0.8333333333333334,5,manhattan,0.1,128
96,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_128/,1,0.8333333333333334,5,manhattan,0.1,128
97,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_128/,2,0.8333333333333334,5,manhattan,0.1,128
98,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_128/,3,0.8333333333333334,5,manhattan,0.1,128
99,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_128/,4,0.8333333333333334,5,manhattan,0.1,128
100,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_256/,0,0.8333333333333334,5,manhattan,0.1,256
101,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_256/,1,0.8333333333333334,5,manhattan,0.1,256
102,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_256/,2,0.8333333333333334,5,manhattan,0.1,256
103,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_256/,3,0.8333333333333334,5,manhattan,0.1,256
104,n_neighbors_5_metric_manhattan_contamination_0.1_encoding_dim_256/,4,0.8333333333333334,5,manhattan,0.1,256
105,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_64/,0,0.8333333333333334,5,manhattan,0.2,64
106,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_64/,1,0.8333333333333334,5,manhattan,0.2,64
107,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_64/,2,0.8333333333333334,5,manhattan,0.2,64
108,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_64/,3,0.8333333333333334,5,manhattan,0.2,64
109,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_64/,4,0.8333333333333334,5,manhattan,0.2,64
110,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_128/,0,0.8333333333333334,5,manhattan,0.2,128
111,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_128/,1,0.8333333333333334,5,manhattan,0.2,128
112,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_128/,2,0.8333333333333334,5,manhattan,0.2,128
113,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_128/,3,0.8333333333333334,5,manhattan,0.2,128
114,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_128/,4,0.8333333333333334,5,manhattan,0.2,128
115,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_256/,0,0.8333333333333334,5,manhattan,0.2,256
116,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_256/,1,0.8333333333333334,5,manhattan,0.2,256
