,model,split,f2_score,lr,batch_size,num_epochs,encoding_dim,hidden_dims,activation
47,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",2,0.8567980691874497,0.0001,32,10,128,"[2048, 1024, 512]",leaky_relu
48,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",3,0.8594377510040161,0.0001,32,10,128,"[2048, 1024, 512]",leaky_relu
49,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",4,0.8451816745655608,0.0001,32,10,128,"[2048, 1024, 512]",leaky_relu
50,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[]_activation_relu/,0,0.83889816360601,0.0001,32,10,256,[],relu
51,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[]_activation_relu/,1,0.8570268074735987,0.0001,32,10,256,[],relu
52,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[]_activation_relu/,2,0.8559670781893004,0.0001,32,10,256,[],relu
53,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[]_activation_relu/,3,0.8708094848732625,0.0001,32,10,256,[],relu
54,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[]_activation_relu/,4,0.8540497193263833,0.0001,32,10,256,[],relu
55,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[]_activation_leaky_relu/,0,0.8581788879935536,0.0001,32,10,256,[],leaky_relu
56,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[]_activation_leaky_relu/,1,0.852589641434263,0.0001,32,10,256,[],leaky_relu
57,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[]_activation_leaky_relu/,2,0.8588709677419355,0.0001,32,10,256,[],leaky_relu
58,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[]_activation_leaky_relu/,3,0.854632587859425,0.0001,32,10,256,[],leaky_relu
59,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[]_activation_leaky_relu/,4,0.8411949685534591,0.0001,32,10,256,[],leaky_relu
60,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024]_activation_relu/,0,0.8507089241034195,0.0001,32,10,256,[1024],relu
61,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024]_activation_relu/,1,0.8630470016207455,0.0001,32,10,256,[1024],relu
62,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024]_activation_relu/,2,0.8415841584158416,0.0001,32,10,256,[1024],relu
63,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024]_activation_relu/,3,0.8607907742998353,0.0001,32,10,256,[1024],relu
64,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024]_activation_relu/,4,0.8513189448441247,0.0001,32,10,256,[1024],relu
65,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024]_activation_leaky_relu/,0,0.8595641646489104,0.0001,32,10,256,[1024],leaky_relu
66,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024]_activation_leaky_relu/,1,0.8485329103885805,0.0001,32,10,256,[1024],leaky_relu
67,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024]_activation_leaky_relu/,2,0.8567980691874497,0.0001,32,10,256,[1024],leaky_relu
68,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024]_activation_leaky_relu/,3,0.8615136876006442,0.0001,32,10,256,[1024],leaky_relu
69,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024]_activation_leaky_relu/,4,0.8471892319873318,0.0001,32,10,256,[1024],leaky_relu
70,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[512]_activation_relu/,0,0.848605577689243,0.0001,32,10,256,[512],relu
71,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[512]_activation_relu/,1,0.852589641434263,0.0001,32,10,256,[512],relu
72,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[512]_activation_relu/,2,0.8581788879935536,0.0001,32,10,256,[512],relu
73,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[512]_activation_relu/,3,0.860128617363344,0.0001,32,10,256,[512],relu
74,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[512]_activation_relu/,4,0.8418568056648308,0.0001,32,10,256,[512],relu
75,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[512]_activation_leaky_relu/,0,0.8533653846153846,0.0001,32,10,256,[512],leaky_relu
76,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[512]_activation_leaky_relu/,1,0.854632587859425,0.0001,32,10,256,[512],leaky_relu
77,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[512]_activation_leaky_relu/,2,0.8561093247588425,0.0001,32,10,256,[512],leaky_relu
78,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[512]_activation_leaky_relu/,3,0.8635996771589992,0.0001,32,10,256,[512],leaky_relu
79,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[512]_activation_leaky_relu/,4,0.8465189873417721,0.0001,32,10,256,[512],leaky_relu
80,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024, 512]_activation_relu/",0,0.8609539207760711,0.0001,32,10,256,"[1024, 512]",relu
81,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024, 512]_activation_relu/",1,0.852589641434263,0.0001,32,10,256,"[1024, 512]",relu
