,model,split,f2_score,n_estimators,max_samples,contamination,encoding_dim
103,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,3,0.8603491271820449,50,0.7,0.1,256
104,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,4,0.8360927152317881,50,0.7,0.1,256
105,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,0,0.8511513157894737,50,0.7,0.2,64
106,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,1,0.8591205211726385,50,0.7,0.2,64
107,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,2,0.8499600957701516,50,0.7,0.2,64
108,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,3,0.8477366255144033,50,0.7,0.2,64
109,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,4,0.8394160583941606,50,0.7,0.2,64
110,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_128/,0,0.8478802992518704,50,0.7,0.2,128
111,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_128/,1,0.8465189873417721,50,0.7,0.2,128
112,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_128/,2,0.8438985736925515,50,0.7,0.2,128
113,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_128/,3,0.859504132231405,50,0.7,0.2,128
114,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_128/,4,0.8539505187549881,50,0.7,0.2,128
115,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_256/,0,0.8540497193263833,50,0.7,0.2,256
116,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_256/,1,0.8623481781376519,50,0.7,0.2,256
117,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_256/,2,0.8233788395904437,50,0.7,0.2,256
118,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_256/,3,0.8423686405337781,50,0.7,0.2,256
119,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_256/,4,0.8612244897959184,50,0.7,0.2,256
120,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_64/,0,0.8333333333333334,50,1.0,0.01,64
121,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_64/,1,0.8499170812603648,50,1.0,0.01,64
122,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_64/,2,0.8333333333333334,50,1.0,0.01,64
123,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_64/,3,0.8579638752052545,50,1.0,0.01,64
124,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_64/,4,0.8333333333333334,50,1.0,0.01,64
125,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_128/,0,0.8333333333333334,50,1.0,0.01,128
126,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_128/,1,0.8589951377633711,50,1.0,0.01,128
127,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_128/,2,0.8333333333333334,50,1.0,0.01,128
128,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_128/,3,0.8333333333333334,50,1.0,0.01,128
129,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_128/,4,0.8333333333333334,50,1.0,0.01,128
130,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_256/,0,0.8333333333333334,50,1.0,0.01,256
131,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_256/,1,0.8333333333333334,50,1.0,0.01,256
132,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_256/,2,0.8333333333333334,50,1.0,0.01,256
133,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_256/,3,0.8699254349627175,50,1.0,0.01,256
134,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_256/,4,0.8552631578947368,50,1.0,0.01,256
135,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_64/,0,0.8333333333333334,50,1.0,0.05,64
136,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_64/,1,0.8333333333333334,50,1.0,0.05,64
137,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_64/,2,0.8333333333333334,50,1.0,0.05,64
138,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_64/,3,0.864448051948052,50,1.0,0.05,64
139,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_64/,4,0.8333333333333334,50,1.0,0.05,64
140,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_128/,0,0.8333333333333334,50,1.0,0.05,128
141,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_128/,1,0.8539505187549881,50,1.0,0.05,128
142,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_128/,2,0.8333333333333334,50,1.0,0.05,128
143,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_128/,3,0.8653846153846154,50,1.0,0.05,128
144,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_128/,4,0.8333333333333334,50,1.0,0.05,128
145,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_256/,0,0.8553719008264463,50,1.0,0.05,256
146,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_256/,1,0.848605577689243,50,1.0,0.05,256
147,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_256/,2,0.8333333333333334,50,1.0,0.05,256
148,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_256/,3,0.8230088495575221,50,1.0,0.05,256
149,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_256/,4,0.8458333333333333,50,1.0,0.05,256
150,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_64/,0,0.8333333333333334,50,1.0,0.1,64
151,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_64/,1,0.8333333333333334,50,1.0,0.1,64
152,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_64/,2,0.8333333333333334,50,1.0,0.1,64
153,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_64/,3,0.8661087866108786,50,1.0,0.1,64
154,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_64/,4,0.8333333333333334,50,1.0,0.1,64
