,model,split,f2_score,n_neighbors,metric,contamination
121,n_neighbors_50_metric_euclidean_contamination_0.01/,1,0.8588709677419355,50,euclidean,0.01
122,n_neighbors_50_metric_euclidean_contamination_0.01/,2,0.85667215815486,50,euclidean,0.01
123,n_neighbors_50_metric_euclidean_contamination_0.01/,3,0.8623481781376519,50,euclidean,0.01
124,n_neighbors_50_metric_euclidean_contamination_0.01/,4,0.8595641646489104,50,euclidean,0.01
125,n_neighbors_50_metric_euclidean_contamination_0.05/,0,0.8588709677419355,50,euclidean,0.05
126,n_neighbors_50_metric_euclidean_contamination_0.05/,1,0.8630470016207455,50,euclidean,0.05
127,n_neighbors_50_metric_euclidean_contamination_0.05/,2,0.8544562551103843,50,euclidean,0.05
128,n_neighbors_50_metric_euclidean_contamination_0.05/,3,0.8693877551020408,50,euclidean,0.05
129,n_neighbors_50_metric_euclidean_contamination_0.05/,4,0.8581788879935536,50,euclidean,0.05
130,n_neighbors_50_metric_euclidean_contamination_0.1/,0,0.8600823045267489,50,euclidean,0.1
131,n_neighbors_50_metric_euclidean_contamination_0.1/,1,0.858085808580858,50,euclidean,0.1
132,n_neighbors_50_metric_euclidean_contamination_0.1/,2,0.858085808580858,50,euclidean,0.1
133,n_neighbors_50_metric_euclidean_contamination_0.1/,3,0.8710217755443886,50,euclidean,0.1
134,n_neighbors_50_metric_euclidean_contamination_0.1/,4,0.8537581699346405,50,euclidean,0.1
135,n_neighbors_50_metric_euclidean_contamination_0.2/,0,0.8659450457951707,50,euclidean,0.2
136,n_neighbors_50_metric_euclidean_contamination_0.2/,1,0.8616404308202155,50,euclidean,0.2
137,n_neighbors_50_metric_euclidean_contamination_0.2/,2,0.858085808580858,50,euclidean,0.2
138,n_neighbors_50_metric_euclidean_contamination_0.2/,3,0.8688387635756056,50,euclidean,0.2
139,n_neighbors_50_metric_euclidean_contamination_0.2/,4,0.858085808580858,50,euclidean,0.2
140,n_neighbors_50_metric_manhattan_contamination_0.01/,0,0.8333333333333334,50,manhattan,0.01
141,n_neighbors_50_metric_manhattan_contamination_0.01/,1,0.8620689655172413,50,manhattan,0.01
142,n_neighbors_50_metric_manhattan_contamination_0.01/,2,0.8482523444160273,50,manhattan,0.01
143,n_neighbors_50_metric_manhattan_contamination_0.01/,3,0.8755186721991701,50,manhattan,0.01
144,n_neighbors_50_metric_manhattan_contamination_0.01/,4,0.8619281045751634,50,manhattan,0.01
145,n_neighbors_50_metric_manhattan_contamination_0.05/,0,0.8333333333333334,50,manhattan,0.05
146,n_neighbors_50_metric_manhattan_contamination_0.05/,1,0.8639863130881095,50,manhattan,0.05
147,n_neighbors_50_metric_manhattan_contamination_0.05/,2,0.8553719008264463,50,manhattan,0.05
148,n_neighbors_50_metric_manhattan_contamination_0.05/,3,0.8615136876006442,50,manhattan,0.05
149,n_neighbors_50_metric_manhattan_contamination_0.05/,4,0.8654634946677605,50,manhattan,0.05
150,n_neighbors_50_metric_manhattan_contamination_0.1/,0,0.8539505187549881,50,manhattan,0.1
151,n_neighbors_50_metric_manhattan_contamination_0.1/,1,0.8653026427962489,50,manhattan,0.1
152,n_neighbors_50_metric_manhattan_contamination_0.1/,2,0.8535564853556485,50,manhattan,0.1
153,n_neighbors_50_metric_manhattan_contamination_0.1/,3,0.8755186721991701,50,manhattan,0.1
154,n_neighbors_50_metric_manhattan_contamination_0.1/,4,0.8564231738035264,50,manhattan,0.1
155,n_neighbors_50_metric_manhattan_contamination_0.2/,0,0.8587479935794543,50,manhattan,0.2
156,n_neighbors_50_metric_manhattan_contamination_0.2/,1,0.8651399491094147,50,manhattan,0.2
157,n_neighbors_50_metric_manhattan_contamination_0.2/,2,0.8552631578947368,50,manhattan,0.2
158,n_neighbors_50_metric_manhattan_contamination_0.2/,3,0.8755186721991701,50,manhattan,0.2
159,n_neighbors_50_metric_manhattan_contamination_0.2/,4,0.8567880794701986,50,manhattan,0.2
