,model,split,f2_score,lr,num_epochs,kernel_size,out_channels,activation,fc1_size
74,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",4,0.8339828526890102,0.0001,10,5,"[32, 64, 128]",relu,128
75,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",0,0.8339828526890102,0.0001,10,5,"[32, 64, 128]",leaky_relu,32
76,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",1,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",leaky_relu,32
77,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",2,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",leaky_relu,32
78,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",3,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",leaky_relu,32
79,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",4,0.8339828526890102,0.0001,10,5,"[32, 64, 128]",leaky_relu,32
80,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",0,0.8491379310344828,0.0001,10,5,"[32, 64, 128]",leaky_relu,64
81,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",1,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",leaky_relu,64
82,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",2,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",leaky_relu,64
83,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",3,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",leaky_relu,64
84,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",4,0.8339828526890102,0.0001,10,5,"[32, 64, 128]",leaky_relu,64
85,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",0,0.8339828526890102,0.0001,10,5,"[32, 64, 128]",leaky_relu,128
86,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",1,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",leaky_relu,128
87,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",2,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",leaky_relu,128
88,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",3,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",leaky_relu,128
89,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",4,0.8644656820156386,0.0001,10,5,"[32, 64, 128]",leaky_relu,128
90,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_32/,0,0.8339828526890102,0.0001,10,10,[32],relu,32
