,model,split,f2_score,kernel,nu,gamma,encoding_dim
84,kernel_linear_nu_0.1_gamma_auto_encoding_dim_128/,4,0.8333333333333334,linear,0.1,auto,128
85,kernel_linear_nu_0.1_gamma_auto_encoding_dim_256/,0,0.8333333333333334,linear,0.1,auto,256
86,kernel_linear_nu_0.1_gamma_auto_encoding_dim_256/,1,0.8333333333333334,linear,0.1,auto,256
87,kernel_linear_nu_0.1_gamma_auto_encoding_dim_256/,2,0.8333333333333334,linear,0.1,auto,256
88,kernel_linear_nu_0.1_gamma_auto_encoding_dim_256/,3,0.8346333853354134,linear,0.1,auto,256
89,kernel_linear_nu_0.1_gamma_auto_encoding_dim_256/,4,0.8333333333333334,linear,0.1,auto,256
90,kernel_linear_nu_0.2_gamma_scale_encoding_dim_64/,0,0.8339828526890102,linear,0.2,scale,64
91,kernel_linear_nu_0.2_gamma_scale_encoding_dim_64/,1,0.8339828526890102,linear,0.2,scale,64
92,kernel_linear_nu_0.2_gamma_scale_encoding_dim_64/,2,0.8333333333333334,linear,0.2,scale,64
93,kernel_linear_nu_0.2_gamma_scale_encoding_dim_64/,3,0.8333333333333334,linear,0.2,scale,64
94,kernel_linear_nu_0.2_gamma_scale_encoding_dim_64/,4,0.8333333333333334,linear,0.2,scale,64
95,kernel_linear_nu_0.2_gamma_scale_encoding_dim_128/,0,0.8333333333333334,linear,0.2,scale,128
96,kernel_linear_nu_0.2_gamma_scale_encoding_dim_128/,1,0.8339828526890102,linear,0.2,scale,128
97,kernel_linear_nu_0.2_gamma_scale_encoding_dim_128/,2,0.8333333333333334,linear,0.2,scale,128
98,kernel_linear_nu_0.2_gamma_scale_encoding_dim_128/,3,0.8339828526890102,linear,0.2,scale,128
99,kernel_linear_nu_0.2_gamma_scale_encoding_dim_128/,4,0.8333333333333334,linear,0.2,scale,128
100,kernel_linear_nu_0.2_gamma_scale_encoding_dim_256/,0,0.8333333333333334,linear,0.2,scale,256
101,kernel_linear_nu_0.2_gamma_scale_encoding_dim_256/,1,0.8333333333333334,linear,0.2,scale,256
102,kernel_linear_nu_0.2_gamma_scale_encoding_dim_256/,2,0.8333333333333334,linear,0.2,scale,256
103,kernel_linear_nu_0.2_gamma_scale_encoding_dim_256/,3,0.8339828526890102,linear,0.2,scale,256
104,kernel_linear_nu_0.2_gamma_scale_encoding_dim_256/,4,0.8333333333333334,linear,0.2,scale,256
105,kernel_linear_nu_0.2_gamma_auto_encoding_dim_64/,0,0.8339828526890102,linear,0.2,auto,64
106,kernel_linear_nu_0.2_gamma_auto_encoding_dim_64/,1,0.8339828526890102,linear,0.2,auto,64
107,kernel_linear_nu_0.2_gamma_auto_encoding_dim_64/,2,0.8333333333333334,linear,0.2,auto,64
108,kernel_linear_nu_0.2_gamma_auto_encoding_dim_64/,3,0.8333333333333334,linear,0.2,auto,64
109,kernel_linear_nu_0.2_gamma_auto_encoding_dim_64/,4,0.8333333333333334,linear,0.2,auto,64
110,kernel_linear_nu_0.2_gamma_auto_encoding_dim_128/,0,0.8333333333333334,linear,0.2,auto,128
111,kernel_linear_nu_0.2_gamma_auto_encoding_dim_128/,1,0.8339828526890102,linear,0.2,auto,128
112,kernel_linear_nu_0.2_gamma_auto_encoding_dim_128/,2,0.8333333333333334,linear,0.2,auto,128
113,kernel_linear_nu_0.2_gamma_auto_encoding_dim_128/,3,0.8339828526890102,linear,0.2,auto,128
114,kernel_linear_nu_0.2_gamma_auto_encoding_dim_128/,4,0.8333333333333334,linear,0.2,auto,128
115,kernel_linear_nu_0.2_gamma_auto_encoding_dim_256/,0,0.8333333333333334,linear,0.2,auto,256
116,kernel_linear_nu_0.2_gamma_auto_encoding_dim_256/,1,0.8333333333333334,linear,0.2,auto,256
117,kernel_linear_nu_0.2_gamma_auto_encoding_dim_256/,2,0.8333333333333334,linear,0.2,auto,256
118,kernel_linear_nu_0.2_gamma_auto_encoding_dim_256/,3,0.8339828526890102,linear,0.2,auto,256
119,kernel_linear_nu_0.2_gamma_auto_encoding_dim_256/,4,0.8333333333333334,linear,0.2,auto,256
120,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_64/,0,0.8614864864864865,rbf,0.01,scale,64
121,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_64/,1,0.8594377510040161,rbf,0.01,scale,64
122,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_64/,2,0.874384236453202,rbf,0.01,scale,64
123,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_64/,3,0.8333333333333334,rbf,0.01,scale,64
124,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_64/,4,0.8333333333333334,rbf,0.01,scale,64
125,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_128/,0,0.87943848059455,rbf,0.01,scale,128
126,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_128/,1,0.874384236453202,rbf,0.01,scale,128
127,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_128/,2,0.8417935702199661,rbf,0.01,scale,128
128,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_128/,3,0.8333333333333334,rbf,0.01,scale,128
129,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_128/,4,0.8333333333333334,rbf,0.01,scale,128
130,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_256/,0,0.8665581773799838,rbf,0.01,scale,256
131,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_256/,1,0.8588709677419355,rbf,0.01,scale,256
132,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_256/,2,0.8636363636363636,rbf,0.01,scale,256
133,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_256/,3,0.8333333333333334,rbf,0.01,scale,256
134,kernel_rbf_nu_0.01_gamma_scale_encoding_dim_256/,4,0.8333333333333334,rbf,0.01,scale,256
