,model,split,f2_score
114,lr_0.001_num_epochs_50_kernel_size_20/,4,0.8339828526890102
115,lr_0.001_num_epochs_50_kernel_size_50/,0,0.8339828526890102
116,lr_0.001_num_epochs_50_kernel_size_50/,1,0.8326817826426895
117,lr_0.001_num_epochs_50_kernel_size_50/,2,0.8549432739059968
118,lr_0.001_num_epochs_50_kernel_size_50/,3,0.8326817826426895
119,lr_0.001_num_epochs_50_kernel_size_50/,4,0.8339828526890102
120,lr_0.01_num_epochs_10_kernel_size_5/,0,0.8339828526890102
121,lr_0.01_num_epochs_10_kernel_size_5/,1,0.8326817826426895
122,lr_0.01_num_epochs_10_kernel_size_5/,2,0.8326817826426895
123,lr_0.01_num_epochs_10_kernel_size_5/,3,0.8326817826426895
124,lr_0.01_num_epochs_10_kernel_size_5/,4,0.8339828526890102
125,lr_0.01_num_epochs_10_kernel_size_10/,0,0.8339828526890102
126,lr_0.01_num_epochs_10_kernel_size_10/,1,0.8326817826426895
127,lr_0.01_num_epochs_10_kernel_size_10/,2,0.8326817826426895
128,lr_0.01_num_epochs_10_kernel_size_10/,3,0.8326817826426895
129,lr_0.01_num_epochs_10_kernel_size_10/,4,0.8339828526890102
130,lr_0.01_num_epochs_10_kernel_size_20/,0,0.8339828526890102
131,lr_0.01_num_epochs_10_kernel_size_20/,1,0.8326817826426895
132,lr_0.01_num_epochs_10_kernel_size_20/,2,0.8326817826426895
133,lr_0.01_num_epochs_10_kernel_size_20/,3,0.8326817826426895
134,lr_0.01_num_epochs_10_kernel_size_20/,4,0.8339828526890102
135,lr_0.01_num_epochs_10_kernel_size_50/,0,0.8339828526890102
136,lr_0.01_num_epochs_10_kernel_size_50/,1,0.8326817826426895
137,lr_0.01_num_epochs_10_kernel_size_50/,2,0.8326817826426895
138,lr_0.01_num_epochs_10_kernel_size_50/,3,0.8326817826426895
139,lr_0.01_num_epochs_10_kernel_size_50/,4,0.8339828526890102
140,lr_0.01_num_epochs_20_kernel_size_5/,0,0.8339828526890102
141,lr_0.01_num_epochs_20_kernel_size_5/,1,0.8326817826426895
142,lr_0.01_num_epochs_20_kernel_size_5/,2,0.8326817826426895
143,lr_0.01_num_epochs_20_kernel_size_5/,3,0.8699254349627175
144,lr_0.01_num_epochs_20_kernel_size_5/,4,0.8339828526890102
145,lr_0.01_num_epochs_20_kernel_size_10/,0,0.8339828526890102
146,lr_0.01_num_epochs_20_kernel_size_10/,1,0.8326817826426895
147,lr_0.01_num_epochs_20_kernel_size_10/,2,0.8326817826426895
148,lr_0.01_num_epochs_20_kernel_size_10/,3,0.8326817826426895
149,lr_0.01_num_epochs_20_kernel_size_10/,4,0.8339828526890102
150,lr_0.01_num_epochs_20_kernel_size_20/,0,0.8339828526890102
151,lr_0.01_num_epochs_20_kernel_size_20/,1,0.8326817826426895
152,lr_0.01_num_epochs_20_kernel_size_20/,2,0.8326817826426895
153,lr_0.01_num_epochs_20_kernel_size_20/,3,0.8326817826426895
154,lr_0.01_num_epochs_20_kernel_size_20/,4,0.8339828526890102
155,lr_0.01_num_epochs_20_kernel_size_50/,0,0.8339828526890102
156,lr_0.01_num_epochs_20_kernel_size_50/,1,0.8326817826426895
157,lr_0.01_num_epochs_20_kernel_size_50/,2,0.8326817826426895
158,lr_0.01_num_epochs_20_kernel_size_50/,3,0.8326817826426895
159,lr_0.01_num_epochs_20_kernel_size_50/,4,0.8339828526890102
160,lr_0.01_num_epochs_50_kernel_size_5/,0,0.8339828526890102
161,lr_0.01_num_epochs_50_kernel_size_5/,1,0.8326817826426895
162,lr_0.01_num_epochs_50_kernel_size_5/,2,0.8326817826426895
163,lr_0.01_num_epochs_50_kernel_size_5/,3,0.8326817826426895
164,lr_0.01_num_epochs_50_kernel_size_5/,4,0.8339828526890102
165,lr_0.01_num_epochs_50_kernel_size_10/,0,0.8339828526890102
166,lr_0.01_num_epochs_50_kernel_size_10/,1,0.8326817826426895
167,lr_0.01_num_epochs_50_kernel_size_10/,2,0.8326817826426895
168,lr_0.01_num_epochs_50_kernel_size_10/,3,0.8326817826426895
169,lr_0.01_num_epochs_50_kernel_size_10/,4,0.8339828526890102
170,lr_0.01_num_epochs_50_kernel_size_20/,0,0.8339828526890102
171,lr_0.01_num_epochs_50_kernel_size_20/,1,0.8326817826426895
172,lr_0.01_num_epochs_50_kernel_size_20/,2,0.8326817826426895
173,lr_0.01_num_epochs_50_kernel_size_20/,3,0.8326817826426895
174,lr_0.01_num_epochs_50_kernel_size_20/,4,0.8379013312451057
175,lr_0.01_num_epochs_50_kernel_size_50/,0,0.8339828526890102
176,lr_0.01_num_epochs_50_kernel_size_50/,1,0.8326817826426895
177,lr_0.01_num_epochs_50_kernel_size_50/,2,0.8326817826426895
178,lr_0.01_num_epochs_50_kernel_size_50/,3,0.8326817826426895
179,lr_0.01_num_epochs_50_kernel_size_50/,4,0.8339828526890102
