,model,split,f2_score,n_estimators,max_samples,contamination,encoding_dim
88,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,3,0.8375634517766497,50,0.7,0.05,256
89,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,4,0.8432304038004751,50,0.7,0.05,256
90,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,0,0.8587479935794543,50,0.7,0.1,64
91,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,1,0.8333333333333334,50,0.7,0.1,64
92,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,2,0.8333333333333334,50,0.7,0.1,64
93,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,3,0.8333333333333334,50,0.7,0.1,64
94,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,4,0.8672199170124482,50,0.7,0.1,64
95,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,0,0.8296943231441049,50,0.7,0.1,128
96,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,1,0.8534621578099839,50,0.7,0.1,128
97,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,2,0.8595641646489104,50,0.7,0.1,128
98,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,3,0.8580593424218124,50,0.7,0.1,128
99,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,4,0.8686616791354946,50,0.7,0.1,128
100,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,0,0.8533653846153846,50,0.7,0.1,256
101,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,1,0.8588709677419355,50,0.7,0.1,256
102,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,2,0.8523654159869495,50,0.7,0.1,256
103,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,3,0.8218588640275387,50,0.7,0.1,256
104,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,4,0.8459094519459889,50,0.7,0.1,256
105,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,0,0.8717105263157895,50,0.7,0.2,64
106,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,1,0.8333333333333334,50,0.7,0.2,64
107,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,2,0.8333333333333334,50,0.7,0.2,64
108,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,3,0.8663967611336032,50,0.7,0.2,64
109,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,4,0.8645054031587698,50,0.7,0.2,64
110,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_128/,0,0.8484848484848485,50,0.7,0.2,128
111,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_128/,1,0.8582995951417004,50,0.7,0.2,128
112,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_128/,2,0.8571428571428571,50,0.7,0.2,128
113,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_128/,3,0.8762458471760798,50,0.7,0.2,128
114,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_128/,4,0.8615136876006442,50,0.7,0.2,128
115,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_256/,0,0.843520782396088,50,0.7,0.2,256
116,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_256/,1,0.8609539207760711,50,0.7,0.2,256
117,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_256/,2,0.8502024291497976,50,0.7,0.2,256
118,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_256/,3,0.8396624472573839,50,0.7,0.2,256
119,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_256/,4,0.847255369928401,50,0.7,0.2,256
120,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_64/,0,0.8333333333333334,50,1.0,0.01,64
121,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_64/,1,0.8333333333333334,50,1.0,0.01,64
122,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_64/,2,0.8333333333333334,50,1.0,0.01,64
123,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_64/,3,0.8868243243243243,50,1.0,0.01,64
124,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_64/,4,0.8512330946698489,50,1.0,0.01,64
125,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_128/,0,0.8333333333333334,50,1.0,0.01,128
126,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_128/,1,0.8713355048859935,50,1.0,0.01,128
127,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_128/,2,0.8333333333333334,50,1.0,0.01,128
128,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_128/,3,0.8333333333333334,50,1.0,0.01,128
129,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_128/,4,0.8485329103885805,50,1.0,0.01,128
130,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_256/,0,0.8333333333333334,50,1.0,0.01,256
131,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_256/,1,0.8553157474020784,50,1.0,0.01,256
132,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_256/,2,0.8333333333333334,50,1.0,0.01,256
133,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_256/,3,0.8333333333333334,50,1.0,0.01,256
134,n_estimators_50_max_samples_1.0_contamination_0.01_encoding_dim_256/,4,0.8333333333333334,50,1.0,0.01,256
135,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_64/,0,0.8333333333333334,50,1.0,0.05,64
